merge;big-range;150;42794
merge;big-range;200;58370
merge;big-range;250;97354
merge;big-range;300;95999
merge;almost-sorted;50;13464
merge;almost-sorted;100;27043
merge;almost-sorted;150;45754
merge;almost-sorted;200;63183
merge;almost-sorted;250;57693
merge;almost-sorted;300;58010
merge;reversed;50;29440
merge;reversed;100;25244
merge;reversed;150;36912
merge;reversed;200;49218
merge;reversed;250;77344
merge;reversed;300;77021
quick;small-range;50;3543
quick;small-range;100;10277
quick;small-range;150;13905
quick;small-range;200;17788
quick;small-range;250;25261
quick;small-range;300;29441
quick;big-range;50;3382
quick;big-range;100;8915
quick;big-range;150;12121
quick;big-range;200;15606
quick;big-range;250;30938
quick;big-range;300;38138
quick;almost-sorted;50;18157
quick;almost-sorted;100;12709
quick;almost-sorted;150;29427
quick;almost-sorted;200;43301
quick;almost-sorted;250;66573
quick;almost-sorted;300;89105
quick;reversed;50;6502
quick;reversed;100;22540
quick;reversed;150;42200
quick;reversed;200;72732
quick;reversed;250;136128
quick;reversed;300;203863
heap;small-range;50;5722
heap;small-range;100;13529
heap;small-range;150;24382
heap;small-range;200;35701
heap;small-range;250;44891
heap;small-range;300;60084
heap;big-range;50;6871
heap;big-range;100;16907
heap;big-range;150;31370
heap;big-range;200;44319
heap;big-range;250;53424
heap;big-range;300;70174
heap;almost-sorted;50;6854
heap;almost-sorted;100;16839
heap;almost-sorted;150;28504
heap;almost-sorted;200;42142
heap;almost-sorted;250;45255
heap;almost-sorted;300;64314
heap;reversed;50;5722
heap;reversed;100;14800
heap;reversed;150;25845
heap;reversed;200;41066
heap;reversed;250;45437
heap;reversed;300;64073
shell-ciura;small-range;50;10919
shell-ciura;small-range;100;33780
shell-ciura;small-range;150;73932
shell-ciura;small-range;200;115044
shell-ciura;small-range;250;190041
shell-ciura;small-range;300;258595
shell-ciura;big-range;50;7998
shell-ciura;big-range;100;26541
shell-ciura;big-range;150;70316
shell-ciura;big-range;200;132996
shell-ciura;big-range;250;221255
shell-ciura;big-range;300;334430
shell-ciura;almost-sorted;50;3194
shell-ciura;almost-sorted;100;7845
shell-ciura;almost-sorted;150;12111
shell-ciura;almost-sorted;200;13091
shell-ciura;almost-sorted;250;17438
shell-ciura;almost-sorted;300;21137
shell-ciura;reversed;50;12379
shell-ciura;reversed;100;61558
shell-ciura;reversed;150;154549
shell-ciura;reversed;200;277270
shell-ciura;reversed;250;372465
shell-ciura;reversed;300;533586
shell;small-range;50;2468
shell;small-range;100;5016
shell;small-range;150;9450
shell;small-range;200;17552
shell;small-range;250;23889
shell;small-range;300;28458
shell;big-range;50;5765
shell;big-range;100;12658
shell;big-range;150;19194
shell;big-range;200;33415
shell;big-range;250;39255
shell;big-range;300;40433
shell;almost-sorted;50;1929
shell;almost-sorted;100;5233
shell;almost-sorted;150;13007
shell;almost-sorted;200;18615
shell;almost-sorted;250;19551
shell;almost-sorted;300;21216
shell;reversed;50;2008
shell;reversed;100;4462
shell;reversed;150;7782
shell;reversed;200;11078
shell;reversed;250;15147
shell;reversed;300;19229
